                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.959,                 5.2105,                 2.5511,                0.23997,                  0.375,                0.38357,                 0.1257,                 1.8032,                 12.689,                 3.0416,                0.00012,                0.00012,                0.00012
                      2,                 1.6627,                 3.1877,                 2.0054,                 0.4841,                      1,                0.67187,                0.25502,                 1.6309,                 8.2704,                 2.3519,             0.00024713,             0.00024713,             0.00024713
                      3,                 1.3602,                  1.887,                 1.7403,                0.93467,                      1,                  0.995,                0.58172,                 1.3733,                  5.229,                 2.0604,              0.0003604,              0.0003604,              0.0003604
                      4,                 1.2831,                 1.6657,                 1.5915,                0.99047,                      1,                  0.995,                0.59337,                 1.5131,                 2.0093,                 2.3308,             0.00045981,             0.00045981,             0.00045981
                      5,                 1.3467,                 1.3439,                 1.5821,                0.99476,                      1,                  0.995,                  0.565,                 1.6153,                 1.7837,                 2.9137,             0.00054536,             0.00054536,             0.00054536
                      6,                 1.4826,                 1.2961,                 1.7887,                0.13011,                  0.375,                0.11979,                 0.0448,                 2.1195,                 3.1074,                 3.0677,             0.00061705,             0.00061705,             0.00061705
                      7,                 1.3815,                  1.297,                 1.7568,                0.44303,                  0.875,                  0.709,                0.35394,                 1.5185,                 2.8785,                 2.4192,             0.00067488,             0.00067488,             0.00067488
                      8,                 1.3239,                 1.0152,                 1.6054,                0.82795,                      1,                  0.995,                0.52658,                 1.5819,                 3.6662,                 3.6329,             0.00071885,             0.00071885,             0.00071885
                      9,                 1.5553,                 1.6756,                 1.8715,                0.87991,                      1,                  0.995,                0.49171,                  1.868,                 2.6318,                 4.6458,             0.00074896,             0.00074896,             0.00074896
                     10,                 1.2998,                  1.156,                 1.5615,                0.64986,                      1,                0.96227,                 0.4169,                 1.8765,                 4.0976,                 3.8004,             0.00076521,             0.00076521,             0.00076521
                     11,                  1.103,                 1.4365,                 1.6179,                0.08803,                  0.375,                0.05755,                0.02055,                 2.1571,                 4.5547,                  3.405,              0.0007676,              0.0007676,              0.0007676
                     12,                 1.1585,                 1.0296,                 1.7848,                 0.0753,                  0.375,                0.05186,                0.02121,                 2.6774,                 18.196,                 4.0696,             0.00075613,             0.00075613,             0.00075613
                     13,                 1.1643,                0.93898,                 1.7212,                0.13834,                    0.5,                0.26525,                0.13127,                 2.6246,                 8.4824,                 4.0428,              0.0007308,              0.0007308,              0.0007308
                     14,                 1.1896,                 0.9068,                 1.6456,                0.22806,                    0.5,                0.47403,                0.19193,                 2.4465,                 6.3306,                 3.7223,             0.00069161,             0.00069161,             0.00069161
                     15,                 1.0487,                0.75494,                 1.6294,                0.05143,                  0.375,                0.11492,                0.06044,                 2.8906,                 17.282,                 4.8273,               0.000614,               0.000614,               0.000614
                     16,                  1.067,                0.77434,                 1.5701,                0.40672,                  0.375,                0.28353,                0.08827,                 3.3661,                 3.3443,                 5.5497,               0.000614,               0.000614,               0.000614
                     17,                   0.85,                0.70266,                 1.4564,                0.72243,                    0.5,                0.55283,                 0.1685,                 2.9227,                 1.9796,                 4.7968,               0.000515,               0.000515,               0.000515
                     18,                0.92156,                0.63784,                 1.4404,                0.85758,                  0.875,                0.85908,                0.33995,                 2.1141,                 1.5324,                 3.6344,               0.000416,               0.000416,               0.000416
                     19,                0.94644,                0.59069,                 1.4691,                0.86623,                  0.875,                0.85915,                0.38104,                 1.9824,                 1.4224,                 3.5073,               0.000317,               0.000317,               0.000317
                     20,                0.89505,                0.57118,                 1.4364,                0.99093,                      1,                  0.995,                0.43884,                 1.9356,                 1.0416,                 3.5144,               0.000218,               0.000218,               0.000218
